movieNm,startDate,endDate,salesAmt,audiCnt
복지식당,20220418,20230504,4303500.0,766.0
본즈 앤 올,20220418,20230504,256203520.0,26329.0
봄날,20220418,20230504,176942980.0,25907.0
불도저에 탄 소녀,20220418,20230504,7076000.0,1415.0
불릿 트레인,20220418,20230504,1459078390.0,134084.0
브로커,20220418,20230504,12516684930.0,1252060.0
브이 포 벤데타,20220418,20230504,21503258.0,2557.0
블랙 아담,20220418,20230504,7994710613.0,775674.0
블랙 팬서: 와칸다 포에버,20220418,20230504,22155567209.0,2101259.0
블랙폰,20220418,20230504,1028543943.0,100696.0
비긴 어게인,20220418,20230504,12000000.0,2000.0
비상선언,20220418,20230504,20761375138.0,2040821.0
비욘드 라이브 더 무비 : 샤이니 월드,20220418,20230504,28144000.0,1759.0
비욘드 라이브 더 무비: 엑소의 사다리 타고 세계여행3,20220418,20230504,50648500.0,3070.0
빅샤크4: 바다공룡 대모험,20220418,20230504,455369580.0,50087.0
뽀로로 극장판 드래곤캐슬 대모험,20220418,20230504,3981099196.0,424984.0
뿌까의 짜장면파티,20220418,20230504,18558000.0,3070.0
사랑은 비를 타고,20220418,20230504,26928357.0,3053.0
사랑할 땐 누구나 최악이 된다,20220418,20230504,104707996.0,10828.0
살인청부업자,20220418,20230504,11036200.0,1382.0
상견니,20220418,20230504,3329195100.0,335219.0
샤잠! 신들의 분노,20220418,20230504,741506561.0,70579.0
샷건 웨딩,20220418,20230504,13979000.0,1997.0
서울괴담,20220418,20230504,1031250590.0,107958.0
서치 2,20220418,20230504,3912390958.0,397298.0
성덕,20220418,20230504,27598397.0,3380.0
세븐틴 파워 오브 러브 : 더 무비,20220418,20230504,896319500.0,44818.0
소설가의 영화,20220418,20230504,17534400.0,1854.0
소울메이트,20220418,20230504,2177207817.0,224609.0
수퍼 소닉2,20220418,20230504,841542890.0,92164.0
슈퍼 마리오 브라더스,20220418,20230504,10505985858.0,1063667.0
스마일,20220418,20230504,1009069386.0,94601.0
스위치,20220418,20230504,3899457496.0,409115.0
스즈메의 문단속,20220418,20230504,53246612287.0,5188840.0
