movieNm,startDate,endDate,salesAmt,audiCnt
극장판 주술회전 0,20210301,20220417,5933213070.0,598107.0
극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,20210301,20220417,1838097340.0,193222.0
극장판 천재 추리 탐정 셜록홈즈,20210301,20220417,7796200.0,910.0
극장판 콩순이: 장난감나라 대모험,20210301,20220417,600036450.0,68240.0
극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 팔라딘; 아가트람,20210301,20220417,9600370.0,936.0
"극장판 포켓몬스터: 정글의 아이, 코코",20210301,20220417,1906055500.0,209524.0
기적,20210301,20220417,6551329310.0,704921.0
꽃다발 같은 사랑을 했다,20210301,20220417,221484320.0,23243.0
끝없음에 관하여,20210301,20220417,5133100.0,467.0
나의 촛불,20210301,20220417,339685670.0,34004.0
나의 히어로 아카데미아 더 무비: 월드 히어로즈 미션,20210301,20220417,428210420.0,44232.0
나이트 레이더스,20210301,20220417,5954400.0,731.0
나이트메어 앨리,20210301,20220417,355443320.0,36294.0
나일 강의 죽음,20210301,20220417,2192353620.0,226619.0
날씨의 아이,20210301,20220417,120964100.0,12089.0
남색대문,20210301,20220417,47559620.0,5395.0
낫아웃,20210301,20220417,60215710.0,7125.0
내가 죽기를 바라는 자들,20210301,20220417,446540680.0,47909.0
내겐 너무 소중한 너,20210301,20220417,149240810.0,16372.0
내일도 우린 사랑하고 있을까,20210301,20220417,9084200.0,1505.0
내일의 기억,20210301,20220417,2980149440.0,328916.0
너에게 가는 길,20210301,20220417,7898970.0,908.0
너의 이름은.,20210301,20220417,457605500.0,45672.0
노매드랜드,20210301,20220417,501235340.0,53680.0
노바디,20210301,20220417,1241473220.0,129993.0
노웨어 스페셜,20210301,20220417,17210360.0,1899.0
노회찬6411,20210301,20220417,192001210.0,21687.0
다이노 마이 프렌드,20210301,20220417,27427840.0,3214.0
당신은 믿지 않겠지만,20210301,20220417,10005900.0,1190.0
더 레이서,20210301,20220417,23640880.0,2924.0
더 박스,20210301,20220417,894902920.0,115831.0
더 배트맨,20210301,20220417,9284656780.0,899354.0
더 수어사이드 스쿼드,20210301,20220417,4352617500.0,414471.0
더 스파이,20210301,20220417,2768916660.0,299764.0
더 파더,20210301,20220417,229303380.0,26907.0
더 하더 데이 폴,20210301,20220417,18139000.0,3015.0
더블패티,20210301,20220417,8190000.0,819.0
덩케르크,20210301,20220417,21872000.0,1319.0
도라에몽: 스탠바이미 2,20210301,20220417,665903240.0,76435.0
도어맨,20210301,20220417,22188400.0,2679.0
도쿄 리벤저스,20210301,20220417,34131860.0,3627.0
돈 룩 업,20210301,20220417,678988470.0,69617.0
동백,20210301,20220417,44074400.0,6172.0
듄,20210301,20220417,17341387870.0,1578018.0
듄: 드리프터,20210301,20220417,3375000.0,675.0
드라이,20210301,20220417,7476500.0,866.0
드라이브 마이 카,20210301,20220417,337587280.0,36236.0
드림걸즈,20210301,20220417,10895100.0,1243.0
디어 에반 핸슨,20210301,20220417,1013292830.0,100246.0
뜨거운 피,20210301,20220417,3592614670.0,372866.0
라라와 크리스마스 요정,20210301,20220417,26774330.0,2980.0
라스트 나잇 인 소호,20210301,20220417,366211680.0,38079.0
라스트 듀얼: 최후의 결투,20210301,20220417,521364730.0,54742.0
라스트 레터,20210301,20220417,4561900.0,567.0
라야와 마지막 드래곤,20210301,20220417,2908992780.0,314622.0
라이더스 오브 저스티스,20210301,20220417,20867730.0,2260.0
랑종,20210301,20220417,8560618150.0,825283.0
램,20210301,20220417,117341440.0,12850.0
러빙 빈센트,20210301,20220417,35281090.0,3884.0
레드 아워,20210301,20220417,5000000.0,1000.0
레미니센스,20210301,20220417,336899400.0,36409.0
레벤느망,20210301,20220417,28050200.0,3084.0
레지던트 이블: 라쿤시티,20210301,20220417,182695370.0,19979.0
로스트 시티,20210301,20220417,5368000.0,488.0
루이스 웨인: 사랑을 그린 고양이 화가,20210301,20220417,354946120.0,36246.0
루카,20210301,20220417,3362843770.0,367687.0
리디밍 러브,20210301,20220417,12064500.0,1442.0
리스타트,20210301,20220417,314260620.0,35249.0
리스펙트,20210301,20220417,79772700.0,12974.0
리슨,20210301,20220417,23847700.0,2887.0
리코리쉬 피자,20210301,20220417,80504990.0,8256.0
마세티 킬즈,20210301,20220417,7500000.0,1250.0
마이 뉴욕 다이어리,20210301,20220417,27554910.0,3409.0
마크맨,20210301,20220417,145872100.0,19047.0
만년이 지나도 변하지 않는 게 있어,20210301,20220417,116687000.0,14106.0
말리그넌트,20210301,20220417,388533710.0,36902.0
말임씨를 부탁해,20210301,20220417,67531430.0,8391.0
맛있는 여동생,20210301,20220417,1315000.0,259.0
매직 스쿨: 초보마법사 아우라의 대모험,20210301,20220417,21775240.0,2525.0
매트릭스: 리저렉션,20210301,20220417,2084995090.0,207937.0
맨 인 더 다크 2,20210301,20220417,760008500.0,77146.0
메리 미,20210301,20220417,67264700.0,9509.0
메이드 인 루프탑,20210301,20220417,5500400.0,604.0
메이드 인 이태리,20210301,20220417,30811840.0,3538.0
명탐정 코난: 비색의 탄환,20210301,20220417,2093433870.0,222111.0
모가디슈,20210301,20220417,34469899930.0,3603247.0
모리타니안,20210301,20220417,332476180.0,37101.0
모비우스,20210301,20220417,4549106720.0,461958.0
모탈 컴뱃,20210301,20220417,374865170.0,36575.0
몬스타엑스 : 더 드리밍,20210301,20220417,425944000.0,26672.0
몬테크리스토: 더 뮤지컬 라이브,20210301,20220417,224668500.0,11360.0
무녀도,20210301,20220417,18586000.0,3065.0
